time,b,se,variable,skill,pais,desagregacion,detalle_indicador
-5,4.4635854,15.601089,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
-4,5.4743452,14.800159,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
-3,-10.685478,13.245834,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
-1,-5.9146881,12.675954,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
0,-107.85915,24.397175,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
1,-106.552,24.151644,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
2,-101.97083,28.238905,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
3,-95.902618,24.880718,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
4,-81.830276,26.938293,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
5,-111.4054,24.587366,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
6,-53.269787,51.879494,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
7,-67.197449,48.593922,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
8,-84.834557,33.687908,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
9,-83.202415,41.743313,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
10,-79.941994,40.697182,Ingreso laboral,low,ECU,Nivel educativo,Ingreso laboral total
-5,2.5090549,39.020885,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
-4,-4.9134398,32.760006,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
-3,-22.329432,29.59325,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
-1,-27.493063,29.340368,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
0,-173.22479,41.542477,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
1,-190.22479,41.957291,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
2,-164.09607,46.897083,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
3,-195.73993,46.45985,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
4,-174.81851,54.160728,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
5,-204.21094,45.059578,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
6,-201.23479,44.379955,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
7,-161.42056,53.305058,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
8,-178.70859,49.219994,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
9,-143.556,69.678162,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
10,-121.13954,60.394878,Ingreso laboral,low,CRI,Nivel educativo,Ingreso laboral total
-5,2.5124497,4.8176231,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
-4,.52612525,4.3976669,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
-3,3.019587,4.2839532,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
-1,-2.4592514,3.6911075,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
0,-97.232491,7.8691792,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
1,-89.456085,8.4084721,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
2,-73.999847,9.7517786,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
3,-74.632988,9.1446791,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
4,-59.676685,10.947841,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
5,-65.60305,10.840395,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
6,-67.146065,11.634913,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
7,-69.327774,12.230676,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
8,-66.872948,14.842267,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
9,-64.660629,16.536203,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
10,-75.071762,21.891487,Ingreso laboral,low,COL,Nivel educativo,Ingreso laboral total
-5,-16.973381,15.408215,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
-4,-8.2430429,17.986277,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
-3,-12.359839,16.391146,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
-1,13.430019,18.415888,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
0,-61.535614,18.943733,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
1,-55.526012,21.005638,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
2,-43.129944,18.344606,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
3,-47.857121,17.85236,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
4,-67.661507,18.190252,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
5,-66.599533,19.196747,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
6,-19.518579,17.148188,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
7,-30.439455,16.780861,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
8,-27.236301,17.938297,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
9,-24.159727,18.954044,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
10,-18.471285,26.464001,Ingreso laboral,low,CHL,Nivel educativo,Ingreso laboral total
-5,4.8939376,3.3265426,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
-4,.10367671,3.0888801,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
-3,-.50263095,2.9042103,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
-1,-4.9672313,2.9624119,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
0,-83.6092,14.357176,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
1,-97.882042,6.930428,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
2,-88.281853,7.1227059,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
3,-79.111755,8.3693275,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
4,-77.826981,7.8675437,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
5,-72.32724,8.8031368,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
6,-70.270775,8.8118038,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
7,-69.753151,9.7919636,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
8,-76.77726,9.4609842,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
9,-68.382561,9.3883562,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
10,-61.346989,11.333671,Ingreso laboral,low,BRA,Nivel educativo,Ingreso laboral total
-5,-13.68484,35.135696,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
-4,-29.860172,30.425596,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
-3,-19.087883,34.994164,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
-1,-12.135532,35.939941,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
0,-112.89465,75.232315,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
1,-101.14824,57.4226,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
2,-112.50325,52.724308,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
3,-95.281113,62.482822,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
4,-146.91202,52.833706,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
5,-122.01585,58.799843,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
6,-42.374718,90.660843,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
7,-55.340527,70.702866,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
8,-32.217056,74.818001,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
9,-117.6847,61.557823,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
10,-64.50489,67.349739,Ingreso laboral,low,BOL,Nivel educativo,Ingreso laboral total
-5,-15.837007,20.558683,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
-4,5.9731536,19.425512,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
-3,5.1293626,19.532316,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
-1,-9.403738,16.669073,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
0,-125.43143,28.211336,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
1,-137.67574,29.982084,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
2,-142.96315,35.120506,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
3,-196.50487,30.552702,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
4,-160.53297,34.797897,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
5,-165.24361,36.46006,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
6,-187.34485,36.142628,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
7,-182.76729,39.809959,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
8,-166.76759,42.667622,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
9,-175.70522,43.810921,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
10,-132.05951,59.365383,Ingreso laboral,low,ARG,Nivel educativo,Ingreso laboral total
-5,.0093405368,.0093078893,Empleo,low,URY,Nivel educativo,Empleado
-4,.0052358699,.0085643409,Empleo,low,URY,Nivel educativo,Empleado
-3,.00075313461,.0081194034,Empleo,low,URY,Nivel educativo,Empleado
-2,0,0,Empleo,low,URY,Nivel educativo,Empleado
-1,.00089471752,.0076989615,Empleo,low,URY,Nivel educativo,Empleado
0,-.17275323,.024198996,Empleo,low,URY,Nivel educativo,Empleado
1,-.16558291,.024801526,Empleo,low,URY,Nivel educativo,Empleado
2,-.15657739,.023558252,Empleo,low,URY,Nivel educativo,Empleado
3,-.13564999,.023056505,Empleo,low,URY,Nivel educativo,Empleado
4,-.12974513,.023267314,Empleo,low,URY,Nivel educativo,Empleado
5,-.11605362,.024150869,Empleo,low,URY,Nivel educativo,Empleado
6,-.13878047,.02560078,Empleo,low,URY,Nivel educativo,Empleado
7,-.090847842,.025544276,Empleo,low,URY,Nivel educativo,Empleado
8,-.11604527,.027410164,Empleo,low,URY,Nivel educativo,Empleado
9,-.090566762,.028407879,Empleo,low,URY,Nivel educativo,Empleado
10,-.12951246,.030749096,Empleo,low,URY,Nivel educativo,Empleado
-5,-.0027234321,.038016655,Empleo,low,PRY,Nivel educativo,Empleado
-4,.012532611,.035960976,Empleo,low,PRY,Nivel educativo,Empleado
-3,-.0071531013,.034816239,Empleo,low,PRY,Nivel educativo,Empleado
-2,0,0,Empleo,low,PRY,Nivel educativo,Empleado
-1,-.0059508444,.035971671,Empleo,low,PRY,Nivel educativo,Empleado
0,-.21902247,.067547761,Empleo,low,PRY,Nivel educativo,Empleado
1,-.13491234,.07134942,Empleo,low,PRY,Nivel educativo,Empleado
2,-.07529851,.076459557,Empleo,low,PRY,Nivel educativo,Empleado
3,-.089046054,.073490463,Empleo,low,PRY,Nivel educativo,Empleado
4,-.11913081,.075294062,Empleo,low,PRY,Nivel educativo,Empleado
5,-.096925899,.075007118,Empleo,low,PRY,Nivel educativo,Empleado
6,-.1674884,.078518413,Empleo,low,PRY,Nivel educativo,Empleado
7,-.032603171,.081638217,Empleo,low,PRY,Nivel educativo,Empleado
8,-.093864903,.083801813,Empleo,low,PRY,Nivel educativo,Empleado
9,-.047765609,.083175071,Empleo,low,PRY,Nivel educativo,Empleado
10,-.021006526,.087794118,Empleo,low,PRY,Nivel educativo,Empleado
-5,-.047922976,.066398323,Empleo,low,PER,Nivel educativo,Empleado
-4,-.0068574869,.060799386,Empleo,low,PER,Nivel educativo,Empleado
-3,-.039441064,.055104051,Empleo,low,PER,Nivel educativo,Empleado
-2,0,0,Empleo,low,PER,Nivel educativo,Empleado
-1,-.067396574,.052199747,Empleo,low,PER,Nivel educativo,Empleado
0,-.3112708,.090708934,Empleo,low,PER,Nivel educativo,Empleado
1,-.33290371,.090404265,Empleo,low,PER,Nivel educativo,Empleado
2,-.25052857,.10069493,Empleo,low,PER,Nivel educativo,Empleado
3,-.15827836,.092562616,Empleo,low,PER,Nivel educativo,Empleado
4,-.20279215,.093677431,Empleo,low,PER,Nivel educativo,Empleado
5,-.23221186,.097238682,Empleo,low,PER,Nivel educativo,Empleado
6,-.097745553,.09651722,Empleo,low,PER,Nivel educativo,Empleado
7,-.1122064,.10034002,Empleo,low,PER,Nivel educativo,Empleado
8,-.093638234,.097158656,Empleo,low,PER,Nivel educativo,Empleado
9,-.13889395,.10558484,Empleo,low,PER,Nivel educativo,Empleado
10,-.15014884,.11757636,Empleo,low,PER,Nivel educativo,Empleado
-5,.025281362,.039069165,Empleo,low,PAN,Nivel educativo,Empleado
-4,.032242589,.036017448,Empleo,low,PAN,Nivel educativo,Empleado
-3,.020635106,.03399476,Empleo,low,PAN,Nivel educativo,Empleado
-2,0,0,Empleo,low,PAN,Nivel educativo,Empleado
-1,.026129169,.032798186,Empleo,low,PAN,Nivel educativo,Empleado
0,-.20056514,.065546282,Empleo,low,PAN,Nivel educativo,Empleado
1,-.20156591,.069820821,Empleo,low,PAN,Nivel educativo,Empleado
2,-.16402993,.069558479,Empleo,low,PAN,Nivel educativo,Empleado
3,-.14151545,.070244208,Empleo,low,PAN,Nivel educativo,Empleado
4,-.064368002,.073961146,Empleo,low,PAN,Nivel educativo,Empleado
5,-.044478856,.074514657,Empleo,low,PAN,Nivel educativo,Empleado
6,-.11761611,.078379929,Empleo,low,PAN,Nivel educativo,Empleado
7,-.10529154,.078224637,Empleo,low,PAN,Nivel educativo,Empleado
8,-.060515001,.082975887,Empleo,low,PAN,Nivel educativo,Empleado
9,-.018165734,.085437566,Empleo,low,PAN,Nivel educativo,Empleado
10,-.05035124,.084873356,Empleo,low,PAN,Nivel educativo,Empleado
-5,.0041727005,.0057259635,Empleo,low,MEX,Nivel educativo,Empleado
-4,.0068751443,.0050771516,Empleo,low,MEX,Nivel educativo,Empleado
-3,-.0013934938,.0046633733,Empleo,low,MEX,Nivel educativo,Empleado
-2,0,0,Empleo,low,MEX,Nivel educativo,Empleado
-1,-.0016045759,.004323673,Empleo,low,MEX,Nivel educativo,Empleado
0,-.246776,.010401694,Empleo,low,MEX,Nivel educativo,Empleado
1,-.18610446,.010529166,Empleo,low,MEX,Nivel educativo,Empleado
2,-.17147164,.010557947,Empleo,low,MEX,Nivel educativo,Empleado
3,-.15890802,.010837344,Empleo,low,MEX,Nivel educativo,Empleado
4,-.15948081,.011126431,Empleo,low,MEX,Nivel educativo,Empleado
5,-.16907567,.011641895,Empleo,low,MEX,Nivel educativo,Empleado
6,-.17600441,.012251181,Empleo,low,MEX,Nivel educativo,Empleado
7,-.13807337,.013114749,Empleo,low,MEX,Nivel educativo,Empleado
8,-.15687019,.014211669,Empleo,low,MEX,Nivel educativo,Empleado
9,-.13985878,.015344376,Empleo,low,MEX,Nivel educativo,Empleado
10,-.12378304,.01694913,Empleo,low,MEX,Nivel educativo,Empleado
-5,-.005646999,.02970322,Empleo,low,ECU,Nivel educativo,Empleado
-4,.014449502,.027014086,Empleo,low,ECU,Nivel educativo,Empleado
-3,-.0017199755,.024720658,Empleo,low,ECU,Nivel educativo,Empleado
-2,0,0,Empleo,low,ECU,Nivel educativo,Empleado
-1,.0026481552,.022770837,Empleo,low,ECU,Nivel educativo,Empleado
0,-.25389358,.047322325,Empleo,low,ECU,Nivel educativo,Empleado
1,-.19652079,.048343066,Empleo,low,ECU,Nivel educativo,Empleado
2,-.19813322,.049215749,Empleo,low,ECU,Nivel educativo,Empleado
3,-.14913754,.048815027,Empleo,low,ECU,Nivel educativo,Empleado
4,-.1289005,.048515473,Empleo,low,ECU,Nivel educativo,Empleado
5,-.16661544,.050782606,Empleo,low,ECU,Nivel educativo,Empleado
6,-.13449343,.053436067,Empleo,low,ECU,Nivel educativo,Empleado
7,-.12520151,.053324349,Empleo,low,ECU,Nivel educativo,Empleado
8,-.11569939,.058305591,Empleo,low,ECU,Nivel educativo,Empleado
9,-.1323234,.064032957,Empleo,low,ECU,Nivel educativo,Empleado
10,-.10763448,.070372216,Empleo,low,ECU,Nivel educativo,Empleado
-5,-.010449249,.042922441,Empleo,low,CRI,Nivel educativo,Empleado
-4,.030394953,.039663289,Empleo,low,CRI,Nivel educativo,Empleado
-3,-.0047205947,.036592867,Empleo,low,CRI,Nivel educativo,Empleado
-2,0,0,Empleo,low,CRI,Nivel educativo,Empleado
-1,-.0031300939,.035854042,Empleo,low,CRI,Nivel educativo,Empleado
0,-.23661734,.059268542,Empleo,low,CRI,Nivel educativo,Empleado
1,-.25622913,.058702558,Empleo,low,CRI,Nivel educativo,Empleado
2,-.19212858,.060101043,Empleo,low,CRI,Nivel educativo,Empleado
3,-.22480632,.063242331,Empleo,low,CRI,Nivel educativo,Empleado
4,-.21252148,.064218789,Empleo,low,CRI,Nivel educativo,Empleado
5,-.25114277,.068154104,Empleo,low,CRI,Nivel educativo,Empleado
6,-.25714085,.06876979,Empleo,low,CRI,Nivel educativo,Empleado
7,-.21129322,.075580217,Empleo,low,CRI,Nivel educativo,Empleado
8,-.19213621,.079626635,Empleo,low,CRI,Nivel educativo,Empleado
9,-.21362998,.08049906,Empleo,low,CRI,Nivel educativo,Empleado
10,-.15763628,.084888414,Empleo,low,CRI,Nivel educativo,Empleado
-5,.012022245,.0092905657,Empleo,low,COL,Nivel educativo,Empleado
-4,.0035511511,.0080592362,Empleo,low,COL,Nivel educativo,Empleado
-3,.0014074239,.0073065725,Empleo,low,COL,Nivel educativo,Empleado
-2,0,0,Empleo,low,COL,Nivel educativo,Empleado
-1,.0021021669,.006570857,Empleo,low,COL,Nivel educativo,Empleado
0,-.25692305,.015770974,Empleo,low,COL,Nivel educativo,Empleado
1,-.17411594,.016615976,Empleo,low,COL,Nivel educativo,Empleado
2,-.13498326,.017091803,Empleo,low,COL,Nivel educativo,Empleado
3,-.10294858,.0181347,Empleo,low,COL,Nivel educativo,Empleado
4,-.085235454,.01907916,Empleo,low,COL,Nivel educativo,Empleado
5,-.083088011,.020363981,Empleo,low,COL,Nivel educativo,Empleado
6,-.090687901,.022000657,Empleo,low,COL,Nivel educativo,Empleado
7,-.092140943,.024190208,Empleo,low,COL,Nivel educativo,Empleado
8,-.089776382,.02811786,Empleo,low,COL,Nivel educativo,Empleado
9,-.077277951,.032632735,Empleo,low,COL,Nivel educativo,Empleado
10,-.091891527,.044558469,Empleo,low,COL,Nivel educativo,Empleado
-5,.0052471836,.013724704,Empleo,low,CHL,Nivel educativo,Empleado
-4,.00038980704,.012386996,Empleo,low,CHL,Nivel educativo,Empleado
-3,-.0035419322,.01145452,Empleo,low,CHL,Nivel educativo,Empleado
-2,0,0,Empleo,low,CHL,Nivel educativo,Empleado
-1,-.0077647041,.010512431,Empleo,low,CHL,Nivel educativo,Empleado
0,-.20966899,.030477338,Empleo,low,CHL,Nivel educativo,Empleado
1,-.26025158,.028225645,Empleo,low,CHL,Nivel educativo,Empleado
2,-.19827075,.026956977,Empleo,low,CHL,Nivel educativo,Empleado
3,-.16479442,.026932416,Empleo,low,CHL,Nivel educativo,Empleado
4,-.18986364,.027570235,Empleo,low,CHL,Nivel educativo,Empleado
5,-.15544793,.027939362,Empleo,low,CHL,Nivel educativo,Empleado
6,-.14718926,.027372453,Empleo,low,CHL,Nivel educativo,Empleado
7,-.10924698,.028351624,Empleo,low,CHL,Nivel educativo,Empleado
8,-.13918483,.029644081,Empleo,low,CHL,Nivel educativo,Empleado
9,-.13360506,.030968087,Empleo,low,CHL,Nivel educativo,Empleado
10,-.12438287,.032717898,Empleo,low,CHL,Nivel educativo,Empleado
-5,.0086788516,.0047944309,Empleo,low,BRA,Nivel educativo,Empleado
-4,.0021808539,.004477086,Empleo,low,BRA,Nivel educativo,Empleado
-3,.001068157,.0042658728,Empleo,low,BRA,Nivel educativo,Empleado
-2,0,0,Empleo,low,BRA,Nivel educativo,Empleado
-1,-.0046712896,.0041008536,Empleo,low,BRA,Nivel educativo,Empleado
0,-.2429007,.011573215,Empleo,low,BRA,Nivel educativo,Empleado
1,-.22890675,.011789453,Empleo,low,BRA,Nivel educativo,Empleado
2,-.18644142,.012120183,Empleo,low,BRA,Nivel educativo,Empleado
3,-.15983488,.012322657,Empleo,low,BRA,Nivel educativo,Empleado
4,-.15080714,.012721856,Empleo,low,BRA,Nivel educativo,Empleado
5,-.12837127,.013552117,Empleo,low,BRA,Nivel educativo,Empleado
6,-.12692122,.013881069,Empleo,low,BRA,Nivel educativo,Empleado
7,-.12832361,.014502016,Empleo,low,BRA,Nivel educativo,Empleado
8,-.13498248,.015382786,Empleo,low,BRA,Nivel educativo,Empleado
9,-.11194155,.015367039,Empleo,low,BRA,Nivel educativo,Empleado
10,-.10803335,.016270898,Empleo,low,BRA,Nivel educativo,Empleado
-5,-.00033944903,.064449564,Empleo,low,BOL,Nivel educativo,Empleado
-4,-.051294491,.059882738,Empleo,low,BOL,Nivel educativo,Empleado
-3,-.012652875,.05480003,Empleo,low,BOL,Nivel educativo,Empleado
-2,0,0,Empleo,low,BOL,Nivel educativo,Empleado
-1,-.024108578,.051000133,Empleo,low,BOL,Nivel educativo,Empleado
0,-.34158385,.087354146,Empleo,low,BOL,Nivel educativo,Empleado
1,-.29543364,.090648338,Empleo,low,BOL,Nivel educativo,Empleado
2,-.20358735,.095368177,Empleo,low,BOL,Nivel educativo,Empleado
3,-.19568883,.090168856,Empleo,low,BOL,Nivel educativo,Empleado
4,-.30251598,.093455568,Empleo,low,BOL,Nivel educativo,Empleado
5,-.23558772,.094890498,Empleo,low,BOL,Nivel educativo,Empleado
6,-.32676148,.10566682,Empleo,low,BOL,Nivel educativo,Empleado
7,-.18334815,.1065857,Empleo,low,BOL,Nivel educativo,Empleado
8,-.11222502,.10160359,Empleo,low,BOL,Nivel educativo,Empleado
9,-.25214741,.10256547,Empleo,low,BOL,Nivel educativo,Empleado
10,-.12978892,.097203866,Empleo,low,BOL,Nivel educativo,Empleado
-5,-.0046280688,.021993164,Empleo,low,ARG,Nivel educativo,Empleado
-4,.017141659,.019754739,Empleo,low,ARG,Nivel educativo,Empleado
-3,.013336488,.018144686,Empleo,low,ARG,Nivel educativo,Empleado
-2,0,0,Empleo,low,ARG,Nivel educativo,Empleado
-1,-.0054663382,.016402259,Empleo,low,ARG,Nivel educativo,Empleado
0,-.21386191,.031867068,Empleo,low,ARG,Nivel educativo,Empleado
1,-.21051846,.032745857,Empleo,low,ARG,Nivel educativo,Empleado
2,-.2204062,.034269288,Empleo,low,ARG,Nivel educativo,Empleado
3,-.24712649,.036170647,Empleo,low,ARG,Nivel educativo,Empleado
4,-.23093061,.038456965,Empleo,low,ARG,Nivel educativo,Empleado
5,-.23090562,.04221784,Empleo,low,ARG,Nivel educativo,Empleado
6,-.23081042,.043805387,Empleo,low,ARG,Nivel educativo,Empleado
7,-.25352904,.047401082,Empleo,low,ARG,Nivel educativo,Empleado
8,-.2081196,.050087716,Empleo,low,ARG,Nivel educativo,Empleado
9,-.25723645,.056934521,Empleo,low,ARG,Nivel educativo,Empleado
10,-.22931468,.07126765,Empleo,low,ARG,Nivel educativo,Empleado
-5,.010107951,.0072113075,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
-4,.0072713997,.0067402362,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
-3,.0035275496,.0064170198,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
-1,.00042665191,.0061593936,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
0,-.20691413,.023353908,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
1,-.16256236,.023044463,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
2,-.1519887,.02185864,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
3,-.14039753,.021487383,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
4,-.12389273,.021505304,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
5,-.11201299,.02230325,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
6,-.12595667,.023675544,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
7,-.091819443,.023532337,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
8,-.10835094,.025321383,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
9,-.083950058,.02598189,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
10,-.13118307,.028912142,Participación laboral,low,URY,Nivel educativo,Participación laboral femenina
-5,.0066928216,.038287405,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
-4,.024311289,.035912778,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
-3,.003210559,.034809109,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
-1,.0020724239,.035781555,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
0,-.2187238,.06864541,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
1,-.12272821,.070793636,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
2,-.065242298,.075709946,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
3,-.094825737,.073179841,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
4,-.12209616,.074771486,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
5,-.082270123,.074540615,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
6,-.16410932,.078372195,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
7,-.031109197,.080329217,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
8,-.096198492,.082826331,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
9,-.060220182,.082298897,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
10,-.040069386,.087094791,Participación laboral,low,PRY,Nivel educativo,Participación laboral femenina
-5,-.048077863,.065763302,Participación laboral,low,PER,Nivel educativo,Participación laboral femenina
-4,-.016946526,.059884779,Participación laboral,low,PER,Nivel educativo,Participación laboral femenina
-3,-.050847396,.054523166,Participación laboral,low,PER,Nivel educativo,Participación laboral femenina
-2,0,0,Participación laboral,low,PER,Nivel educativo,Participación laboral femenina
-1,-.057587832,.050810307,Participación laboral,low,PER,Nivel educativo,Participación laboral femenina
0,-.33590963,.090396181,Participación laboral,low,PER,Nivel educativo,Participación laboral femenina
1,-.34208712,.089086294,Participación laboral,low,PER,Nivel educativo,Participación laboral femenina
2,-.25414407,.099087812,Participación laboral,low,PER,Nivel educativo,Participación laboral femenina
3,-.16691118,.090778656,Participación laboral,low,PER,Nivel educativo,Participación laboral femenina
